"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","interannualVar","rep","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","pageLab","pageId"
1,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,23,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,22,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,20,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,16,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,8,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,15,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,0,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,23,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,22,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,20,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,16,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,8,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
24,30,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,0,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
1,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,23,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,22,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,20,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,16,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,"list(R_CV=0.46,S_CV=0.087)",1,0.546061930600554,0.79899653443601,8,0,20,1,5000,"cmult6ay1aSf1repBatch1",1
