"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","rep","interannualVar","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","qMax","uMax","zMax","pageLab","pageId"
2,20,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,0,0,1,1,"list(R_CV=0.46,S_CV=0.087)",0.980498168230988,0.934100368423387,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,20,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.305540970852599,0.235659103458747,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
